source_entry_id,source_id,source_title,source_page,official_name_zh,official_name_en,normalized_family_key,credit_rating,point_formula,requirements_fingerprint,fuzzy_requirement,prerequisite,keeper_approval,mechanical_comparison,canonical_family_candidate,variant_candidate,implementation_status,recommended_batch,notes
keeper-p40-antiquarian,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,文物学家（原作向）,Antiquarian,antiquarian,30-70,EDU*4,估价；一项社交技能；历史；图书馆；艺术/工艺（任一）；外语；侦查；任意一项其他技能,no,none,none,canonical-match-across-sources,antiquarian,no,production-pilot,already implemented,production_id=antiquarian
keeper-p40-artist,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,艺术家,Artist,artist,9-50,"EDU*2+best(POW,DEX)*2",一项社交技能；历史或博物学；心理学；艺术/工艺（任一）；外语；侦查；任意两项其他技能,no,none,none,canonical-match-across-sources,artist,no,production-pilot,already implemented,production_id=artist
keeper-p40-athlete,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,运动员,Athlete,athlete,9-70,"EDU*2+best(DEX,STR)*2",格斗（斗殴）；一项社交技能；攀爬；骑术；跳跃；投掷；游泳；任意一项其他技能,no,none,none,canonical-match-across-sources,athlete,no,production-batch-3,Batch 3 - complex / review,production_id=athlete
keeper-p40-author,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,作家（原作向）,Author,author,9-30,EDU*4,博物学或神秘学；历史；图书馆；心理学；艺术（文学）；外语；母语；任意一项其他技能,no,none,none,canonical-match-across-sources,author,no,production-pilot,already implemented,production_id=author
keeper-p40-clergy-member-of-the,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,神职人员,"Clergy, Member of the",clergy,9-60,EDU*4,一项社交技能；会计；历史；聆听；图书馆；心理学；外语；任意一项其他技能,no,none,none,canonical-match-across-sources,clergy,no,production-batch-1,Batch 1 - simple,production_id=clergy
keeper-p40-criminal,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,罪犯,Criminal,criminal,5-65,"EDU*2+best(DEX,STR)*2",一项社交技能；潜行；心理学；侦查；从格斗、估价、机械维修、妙手、乔装、射击、锁匠中选四项,no,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-keeper-rulebook
keeper-p40-dilettante,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,业余艺术爱好者（原作向）,Dilettante,dilettante,50-99,EDU*2+APP*2,一项社交技能；骑术；射击；艺术/工艺（任一）；外语；任意三项其他技能,no,none,none,canonical-match-across-sources,dilettante,no,production-batch-3,Batch 3 - complex / review,production_id=dilettante
keeper-p40-doctor-of-medicine,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,医生（原作向）,Doctor of Medicine,doctor-of-medicine,30-80,EDU*4,急救；科学（生物学）；科学（药学）；心理学；医学；外语（拉丁语）；任意两项学术或个人专长,yes,none,none,canonical-match-across-sources,doctor-of-medicine,no,production-pilot,already implemented,production_id=doctor-of-medicine
keeper-p40-drifter,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,流浪者,Drifter,drifter,0-5,"EDU*2+best(APP,DEX,STR)*2",导航；一项社交技能；聆听；攀爬；潜行；跳跃；任意两项其他技能,no,none,none,canonical-match-across-sources,drifter,no,production-batch-3,Batch 3 - complex / review,production_id=drifter
keeper-p40-engineer,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,工程师,Engineer,engineer,30-60,EDU*4,操作重型机械；电气维修；机械维修；科学（工程学）；科学（物理学）；图书馆；艺术/工艺（技术制图）；任意一项其他技能,no,none,none,canonical-match-across-sources,engineer,no,production-batch-3,Batch 3 - complex / review,production_id=engineer
keeper-p40-entertainer,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,艺人,Entertainer,entertainer,9-70,EDU*2+APP*2,两项社交技能；聆听；乔装；心理学；艺术/工艺（表演）；任意两项其他技能,no,none,none,mechanical-variant-candidate,entertainer,yes,production-batch-3,Batch 3 - complex / review,production_id=entertainer-keeper-rulebook
keeper-p40-farmer,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,40,农民,Farmer,farmer,9-30,"EDU*2+best(DEX,STR)*2",博物学；操作重型机械；一项社交技能；机械维修；汽车驾驶或运货马车；艺术/工艺（耕作）；追踪；任意一项其他技能,no,none,none,canonical-match-across-sources,farmer,no,production-batch-3,Batch 3 - complex / review,production_id=farmer
