excel_row,excel_index,excel_name,normalized_name,credit_rating,occupation_formula,occupation_skills,contacts_present,description_source_hint,classification,official_family_key,matched_source_entries,mechanics_match,setting_or_source_hint,duplicate_group,recommended_action,confidence,notes
3,1,自定义职业,自定义职业,,#NAME?,不多于8个本职技能。在右侧职业属性中输入第二职业属性的数值（留空则视为EDU）并自行设置起始信誉。使用自定义职业前，请先咨询你的守秘人。,yes,"不多于7个本职技能。
在职业属性中输入第二职业属性的名字（如外貌、意志、教育、敏捷、力量、体质、体型，留空则视为EDU）并自行设置起始信誉。使用自定义职业前，请先咨询你的KP",custom-template,,,not-applicable,Excel custom occupation template,,keep-as-custom-template,high,Index 0 is a control row and is intentionally excluded; this is the workbook's single custom template.
4,2,会计师,会计师,30-70,教育×4,会计，法律，图书馆，聆听，说服，侦查，任意其他两项个人或时代特长。,yes,"会计师可能在企业工作或作为自由会计师，为个体经营者和企业客户担任顾问。
他们是优秀的研究者，既勤奋又关注细节，能够通过仔细分析个人和企业事务历史记录、财务报表和其他记录支持其他调查员。",confirmed-standard,accountant,handbook-70-accountant,yes,Investigator Handbook,,map-to-canonical-family,high,
5,3,杂技演员,杂技演员,9-20,教育×2＋敏捷×2,攀爬，闪避，跳跃，投掷，侦查，游泳，任意两项其他个人或时代特长。,yes,杂技演员可能是参加各级比赛(甚至奥运会)的业余运动员，也可能是专业的演员，在马戏团、嘉年华、歌舞团之类的地方作为娱乐业从业者工作。,confirmed-standard,acrobat,handbook-70-acrobat,yes,Investigator Handbook,,map-to-canonical-family,high,
6,4,演员-戏剧演员,戏剧演员,9-40,教育×2＋外貌×2,技艺（表演），乔装，格斗，历史，两项社交技能（取悦、话术、恐吓、说服），心理学，任意一项其他个人或时代特长。,yes,"一般指舞台剧演员和电影演员。许多演员有相当深厚的文化素养，认为自己才是“正统”的，倾向于轻视电影业的商业活动。直到20 世纪后期电影业的地位提高，电影演员的薪酬增加，这种情况才发生改变。
电影业和电影明星一直是世界人民关注的焦点。许多明星一夜成名，在媒体的聚光灯下过着光鲜亮丽的生活。
在1920 年代，虽然全国都有大型剧院，美国的戏剧中心仍然是纽约城。英国的情况与之相近，戏剧的中心在伦敦，其他的剧团则在各郡作巡回演出。巡回剧团乘火车旅行，演出内容既包括新编剧目，也包括莎士比亚和其他人的传统剧目。有些剧团也会花时间去国外采风，通常是去加拿大、夏威夷、澳大利亚和欧洲大陆。
20 年代后期出现了有声电影，不少默片时代的明星难以适应有声电影的冲击，挥舞手臂的夸张扮演从此让位给了细致入微的角色特写。这段时间前期的明星包括约翰·加菲尔德和弗兰西斯·布什曼，后期则是贾莱·库珀和琼·克劳馥。",confirmed-standard-variant,actor,handbook-71-stage-actor,yes,Investigator Handbook,,map-to-source-variant,high,
7,5,演员-电影演员,电影演员,20-90,教育×2＋外貌×2,技艺（表演），乔装，汽车驾驶，两项社交技能（取悦、话术、恐吓、说服），心理学，任意两项其他个人或时代特长（如骑乘或格斗）。,yes,"一般指舞台剧演员和电影演员。许多演员有相当深厚的文化素养，认为自己才是“正统”的，倾向于轻视电影业的商业活动。直到20 世纪后期电影业的地位提高，电影演员的薪酬增加，这种情况才发生改变。
电影业和电影明星一直是世界人民关注的焦点。许多明星一夜成名，在媒体的聚光灯下过着光鲜亮丽的生活。
在1920 年代，虽然全国都有大型剧院，美国的戏剧中心仍然是纽约城。英国的情况与之相近，戏剧的中心在伦敦，其他的剧团则在各郡作巡回演出。巡回剧团乘火车旅行，演出内容既包括新编剧目，也包括莎士比亚和其他人的传统剧目。有些剧团也会花时间去国外采风，通常是去加拿大、夏威夷、澳大利亚和欧洲大陆。
20 年代后期出现了有声电影，不少默片时代的明星难以适应有声电影的冲击，挥舞手臂的夸张扮演从此让位给了细致入微的角色特写。这段时间前期的明星包括约翰·加菲尔德和弗兰西斯·布什曼，后期则是贾莱·库珀和琼·克劳馥。",confirmed-standard-variant,actor,handbook-71-film-star,yes,Investigator Handbook,,map-to-source-variant,high,
8,6,事务所侦探、保安,事务所侦探,20-45,教育×2＋力量或敏捷×2,一项社交技能（取悦、话术、恐吓、说服），格斗（斗殴），射击，法律，图书馆，心理学，潜行，追踪。,yes,"世界上有许多著名的侦探机构，其中最著名的是平克顿和伯恩斯调查局(后来合并成一家公司)。这样的公司一般有两类工作人员：安保人员和调查人员。
企业或个人雇用安保人员来保护自己的资产和人员免受盗贼、刺客和绑匪的威胁。这些安保人员角色使用巡警的职业模板。调查人员则是便衣侦探，负责为公司客户解决各种异常事件、阻止谋杀事件、寻找失踪的人员等等。",confirmed-standard,agency-detective,handbook-71-agency-detective,yes,Investigator Handbook,,map-to-canonical-family,high,
9,7,精神病医生（古典）,精神病医生（古典）,10-60,教育×4,法律，聆听，医学，外语，精神分析，心理学，科学（生物学，化学）。,yes,在1920 年代，“精神病医生”这个词专用来称呼治疗精神失常的医生(也就是早期的精神科医生)。精神分析在当时的美国鲜为人知，而且它的基本内容都是性生活和如厕训练之类令大众不齿的东西。精神病学，一种正规的从行为主义发展来的医学理论则要普及得多。精神病医生、精神科医生和神经科医生还经常爆发激烈的论战。,confirmed-standard,alienist,handbook-71-alienist,yes,Investigator Handbook,,map-to-canonical-family,high,
10,8,动物训练师,动物训练师,10-40,教育×2＋外貌或意志×2,跳跃，聆听，自然，心理学，科学（动物学），潜行，追踪，任意一项其他个人或时代特长。,yes,动物训练师可能在电影工作室、巡回马戏团、马厩工作或自由工作。不管是训练导盲犬、狮子钻火圈，他们工作时基本要独自一人长时间近距离地照看这些动物。动物训练师可以像对人一样对动物使用「心理学」技能。,confirmed-standard,animal-trainer,handbook-71-animal-trainer,no,Investigator Handbook,,map-to-canonical-family,high,Excel replaces official Animal Handling with Psychology.
11,9,文物学家（原作向）,文物学家（原作向）,30-70,教育×4,估价，技艺（任一），历史，图书馆，外语，一项社交技能（取悦、话术、恐吓、说服），侦查，任意一项其他个人或时代特长。,yes,文物学家也许是调查员可以从事的最具有洛夫克拉夫特风格的职业：那些历久弥新的的卓越作品、湮没在古代传说中的神奇力量，总能使他们乐在其中。独立的收入使文物学家能够研究古旧晦涩的文物，或者根据自己的兴趣爱好集中探寻特别的种类。他们通常有着欣赏的眼光、敏锐的头脑，和讽刺无知、自大、贪婪者的愚蠢时尖酸刻薄的幽默。,confirmed-standard,antiquarian,handbook-71-antiquarian,yes,Investigator Handbook,,map-to-canonical-family,high,
12,10,古董商,古董商,30-50,教育×4,会计，估价，汽车驾驶，两项社交技能（取悦、话术、恐吓、说服），历史，图书馆，导航。,yes,古董商通常自己开店，从自己所在的地方转卖物品，或继续扩展业务范围，通过倒卖物品到城市商店赚取利润。,confirmed-standard,antique-dealer,handbook-71-antique-dealer,yes,Investigator Handbook,,map-to-canonical-family,high,
